(151, 95,187)
(186,182,188)
(196,177,208)
(134, 46,190)
(137,  3,222)
(233,112,148)
(233,226,228)
(240,202,213)
(234, 46,103)
(244,  0, 74)
(166,232,111)
(229,233,225)
(219,239,201)
(131,234, 46)
(111,244,  0)
(255,253,122)
(255,255,246)
(255,254,214)
(255,252, 50)
(255,252,  0)
(24,63,191)
(30,34,66)
(213,72,62)
(230,81,145)
(49,107,222)
(71,138,26)
(73,84,235)
(95,240,64)
(97,114,120)
(130,223,35)
(35,122,60)
(107,121,53)
(13,213,211)
(2,154,66)
(211,32,182)
(70,47,15)
(112,236,173)
(153,96,124)
(253,30,15)
(57,33,241)
(32,127,188)
(109,250,98)
(10,127,109)
(14,67,205)
(54,0,180)
(186,163,172)
(140,175,152)
(2,54,21)
(76,196,228)
(192,225,3)
(178,27,238)
(38,105,93)
(143,173,94)
(19,251,138)
(243,62,201)
(97,53,237)
(91,105,190)
(135,145,240)
(69,168,65)
(66,194,50)
(109,96,120)
(182,113,84)
(44,147,165)
(186,245,117)
(118,177,99)
(218,141,92)
(22,182,92)
(162,67,161)
(115,75,26)
(232,67,222)
(138,6,1)
(156,250,226)
(12,80,123)
(182,169,17)
(230,116,119)
(140,98,91)
(62,35,31)
(160,220,217)
(213,158,152)
(203,72,245)
(203,86,79)
(250,150,91)
(87,192,7)
(43,233,136)
(93,29,252)
(204,131,205)
(96,157,190)
(123,217,45)
(66,40,238)
(50,141,204)
(27,216,229)
(18,62,43)
(151,93,65)
(14,143,159)
(236,51,192)
(100,234,122)
(246,143,182)
(183,157,213)
(176,74,178)
(89,235,2)
(84,165,34)
(187,15,4)
(39,50,165)
(222,199,31)
(3,246,210)
(111,0,218)
(191,71,100)
(140,229,121)
(193,193,178)
(34,200,157)
(190,3,250)
(164,194,73)
(199,209,137)
(85,79,253)
(63,87,197)
(254,229,27)
(216,122,217)
(251,40,141)
(155,71,16)
(62,253,36)
